,FB_int,essai,num_sujet,MoyenneBeta,MoyenneERD,MedianeERD,MedianeBeta,StdDevBeta,mvtMoyCond,mvtMedianCond,StdDevMvt
1,1,1,0,16.5584375,0.906814759036145,0.852957283680175,15.575,4.89805498551507,0.3071875,0.275,0.257559693989067
2,1,1,1,23.250625,2.21013545627376,1.81606463878327,19.105,15.8774957271138,0,0,0
3,1,1,2,4.8059375,1.89210137795276,1.8503937007874,4.7,0.86598018071264,0,0,0
4,1,1,3,19.120625,0.951274875621891,0.850995024875622,17.105,7.28484460281047,0.5453125,0.6,0.452405644234777
5,1,1,4,15.455,1.78464203233256,1.69572748267898,14.685,3.11531182097964,0,0,0
6,1,1,5,20.489375,1.13829861111111,0.701388888888889,12.625,17.7141110030685,0.5459375,0.62,0.471892957893713
7,1,1,6,26.4090625,0.838382936507936,0.742539682539682,23.39,10.3447918513415,0.493125,0.535,0.322694677425441
8,1,1,7,29.53625,0.93765873015873,0.892063492063492,28.1,7.89370379970134,0.2759375,0.225,0.276812028628722
9,1,1,8,47.6665625,1.65508897569444,1.4671875,42.255,20.6748835639542,0.0446875,0,0.139584276196462
10,1,1,9,135.63625,4.70959201388889,1.18020833333333,33.99,388.405291945527,0.123125,0,0.23135557746855
11,1,1,10,33.6521875,1.06832341269841,0.985555555555556,31.045,9.88343408204012,0.1628125,0.03,0.228702290988144
12,1,1,11,140.28375,4.87096354166667,4.18697916666667,120.585,62.2106994090867,0,0,0
13,1,1,12,14.06,1.83790849673203,1.45294117647059,11.115,8.14434733716503,0.041875,0,0.0853243337828305
14,1,1,13,20.2615625,1.09759276814735,0.996749729144095,18.4,8.40850610389227,0.19125,0.01,0.263055863072417
15,1,1,14,15.25375,1.69486111111111,1.16055555555556,10.445,11.5770498080497,0.090625,0,0.181941810974402
16,1,1,15,10.050625,0.507607323232323,0.471464646464646,9.335,2.81992328596181,0.91,01.04,0.197418827745449
17,1,1,16,31.1659375,2.30858796296296,0.565185185185185,7.63,131.769766855517,0.82125,0.9,0.290758185750023
18,1,1,17,8.805,0.978333333333333,0.902222222222222,8.12,2.05566565625896,0.2140625,0.205,0.21771332697365
19,1,1,18,310.49625,26.538141025641,1.16623931623932,13.645,1645.98781206194,0.2590625,0,0.311772863713934
20,1,1,19,14.79625,0.657611111111111,0.625555555555556,14.075,5.7269029799653,0.7084375,0.78,0.313308148581779
21,1,1,20,13.8234375,0.903492647058823,0.87483660130719,13.385,4.71596096277518,0.378125,0.26,0.397130331251593
22,1,1,21,6.665625,0.462890625,0.442361111111111,6.37,1.98343289485354,0.956875,01.04,0.180097419873693
23,1,1,22,18.8709375,0.776581790123457,0.754732510288066,18.34,9.48805509128834,0.555625,0.51,0.422534117729162
24,1,1,23,11.8878125,0.825542534722222,0.771527777777778,11.11,4.61211499617076,0.460625,0.475,0.422297384132511
25,1,1,24,4.3796875,0.811053240740741,0.692592592592593,3.74,2.17528416293507,0.563125,0.64,0.41051845662017
26,1,2,0,18.791875,1.02912787513691,1.02573932092004,18.73,3.83440236963442,0.1325,0,0.194173185086025
27,1,2,1,36.04875,3.42668726235741,2.2856463878327,24.045,40.7290694911252,0,0,0
28,1,2,2,6.5821875,2.5914124015748,1.80905511811024,4.595,9.65282700839667,0,0,0
29,1,2,3,27.4565625,1.36599813432836,1.16169154228856,23.35,13.6237429391995,0.2853125,0,0.388512335296345
30,1,2,4,16.0396875,1.85215790993072,1.75866050808314,15.23,3.29003724302383,0,0,0
31,1,2,5,10.4296875,0.579427083333333,0.536111111111111,9.65,4.46967956156417,0.7646875,0.965,0.34778547684345
32,1,2,6,59.1940625,1.87917658730159,1.18333333333333,37.275,77.547781934519,0.2571875,0,0.335090111857268
33,1,2,7,33.0003125,1.04762896825397,1.02571428571429,32.31,8.48657972230654,0.183125,0.005,0.263309427933581
34,1,2,8,36.956875,1.28322482638889,1.18767361111111,34.205,12.7162630028662,0.095625,0,0.208913278813282
35,1,2,9,47.289375,1.6419921875,0.899131944444444,25.895,96.8801805004012,0.3278125,0.21,0.359701797416299
36,1,2,10,31.87375,1.01186507936508,0.955555555555555,30.1,7.88955199267749,0.195,0.09,0.244856771827282
37,1,2,11,133.121875,4.62228732638889,4.41545138888889,127.165,64.9805809422844,0,0,0
38,1,2,12,9.351875,1.22246732026144,1.17320261437909,8.975,2.08180975471793,0.044375,0,0.140113721093652
39,1,2,13,23.8234375,1.2905437432286,0.991061755146262,18.295,14.2354366123542,0.2225,0.035,0.275364860597014
40,1,2,14,11.784375,1.309375,0.952777777777778,8.575,13.9146886737396,0.176875,0.095,0.217840389927743
41,1,2,15,14.918125,0.753440656565657,0.553535353535354,10.96,10.830735964479,0.7059375,0.93,0.395799390168889
42,1,2,16,8.9990625,0.666597222222222,0.638518518518518,8.62,2.70006852884957,0.6878125,0.75,0.336238532602157
43,1,2,17,8.540625,0.948958333333333,0.938333333333333,8.445,2.13401928446104,0.2590625,0.125,0.293019424380904
44,1,2,18,11.3459375,0.969738247863248,0.853846153846154,9.99,5.85406550729574,0.31875,0.3,0.288251122595246
45,1,2,19,13.810625,0.613805555555555,0.571777777777778,12.865,5.38889834782823,0.8096875,0.89,0.279059299687245
46,1,2,20,10.0540625,0.657128267973856,0.650653594771242,9.955,1.97416680567091,0.701875,0.725,0.252272733877572
47,1,2,21,7.185,0.498958333333333,0.521527777777778,7.51,1.52724926668198,0.9515625,0.995,0.124488874357148
48,1,2,22,21.124375,0.869315843621399,0.739711934156379,17.975,9.50539606936417,0.4853125,0.54,0.403668535174991
49,1,2,23,14.943125,1.03771701388889,1.04618055555556,15.065,4.53833310133905,0.2075,0,0.308900234442627
50,1,2,24,4.2225,0.781944444444444,0.638888888888889,3.45,2.09485852936768,0.5784375,0.75,0.448776899634062
51,1,3,0,22.85,1.2513691128149,1.08351588170865,19.785,9.07641822207061,0.07375,0,0.124272074043595
52,1,3,1,24.2871875,2.30866801330798,2.04895437262357,21.555,10.5716975273071,0,0,0
53,1,3,2,5.358125,2.10949803149606,1.84842519685039,4.695,2.65363954269992,0,0,0
54,1,3,3,24.67375,1.22754975124378,1.10099502487562,22.13,10.0957572532292,0.2971875,0,0.411435209299852
55,1,3,4,17.68125,2.04171478060046,1.90588914549654,16.505,4.89712670859148,0,0,0
56,1,3,5,187.9003125,10.43890625,0.628888888888889,11.32,878.180261605835,0.643125,0.77,0.407022528503862
57,1,3,6,40.4809375,1.28510912698413,0.795873015873016,25.07,60.2623604432279,0.3996875,0.425,0.309395710450487
58,1,3,7,36.5996875,1.16189484126984,1.11015873015873,34.97,9.72712916716322,0.0946875,0,0.185036777076796
59,1,3,8,38.5071875,1.33705512152778,1.30729166666667,37.65,9.43169612713839,0.023125,0,0.0707306339618497
60,1,3,9,48.410625,1.68092447916667,1.62482638888889,46.795,25.4466642642492,0.118125,0,0.261748925499227
61,1,3,10,33.5115625,1.06385912698413,1.0252380952381,32.295,8.2466251589421,0.1571875,0,0.242197391837532
62,1,3,11,85.4971875,2.96865234375,2.37100694444444,68.285,54.9415662748879,0.0003125,0,0.00176776695296637
63,1,3,12,8.9725,1.17287581699346,1.08888888888889,8.33,2.18658077460472,0.0734375,0,0.163719062578592
64,1,3,13,22.539375,1.22098456121343,1.17091007583965,21.615,6.85893856995757,0.1121875,0,0.183649989241457
65,1,3,14,10.0709375,1.11899305555556,1.04666666666667,9.42,3.01946092109705,0.1359375,0,0.210741538306386
66,1,3,15,9.65375,0.487563131313131,0.464141414141414,9.19,2.80885896934635,0.9390625,01.04,0.203681588554609
67,1,3,16,8.4478125,0.625763888888889,0.624074074074074,8.425,1.88748635436213,0.7525,0.78,0.255809909263538
68,1,3,17,7.7125,0.856944444444444,0.842222222222222,7.58,1.54473716315294,0.3509375,0.33,0.268212233910675
69,1,3,18,13.7309375,1.1735844017094,0.905555555555556,10.595,8.17788692613275,0.2559375,0.195,0.260444525391592
70,1,3,19,12.616875,0.56075,0.522444444444444,11.755,3.33121835456736,0.8528125,0.99,0.251360611986175
71,1,3,20,10.2071875,0.667136437908497,0.679084967320261,10.39,1.56982890864557,0.691875,0.665,0.212381845709789
72,1,3,21,10.166875,0.706032986111111,0.576388888888889,8.3,7.98081790517011,0.7715625,0.88,0.330513865552689
73,1,3,22,19.1215625,0.786895576131687,0.693004115226337,16.84,8.38986335748432,0.5828125,0.64,0.397023070549291
74,1,3,23,14.4628125,1.00436197916667,0.969791666666667,13.965,4.32724544311968,0.241875,0.06,0.296086708093554
75,1,3,24,4.8334375,0.895081018518519,0.817592592592593,4.415,1.84231202809702,0.4246875,0.38,0.436924621645428
76,1,4,0,24.1703125,1.32367538335159,1.13691128148959,20.76,10.5505155001331,0.0453125,0,0.122315941381854
77,1,4,1,28.56125,2.71494771863118,2.00903041825095,21.135,22.3050247123682,0,0,0
78,1,4,2,8.049375,3.16904527559055,2.06889763779528,5.255,8.15407277515848,0,0,0
79,1,4,3,30.9046875,1.53754664179104,1.1318407960199,22.75,21.8557065677734,0.3025,0,0.420844006039476
80,1,4,4,18.96125,2.1895207852194,1.97344110854503,17.09,5.36381288913749,0,0,0
81,1,4,5,31.73625,1.763125,1.32638888888889,23.875,21.759654401608,0.344375,0.13,0.385444339314612
82,1,4,6,83.26,2.6431746031746,0.610793650793651,19.24,323.494438302891,0.704375,0.81,0.338182404494494
83,1,4,7,38.635625,1.22652777777778,1.13301587301587,35.69,13.4064262244978,0.1115625,0,0.187876235428299
84,1,4,8,38.605625,1.34047309027778,1.23003472222222,35.425,15.2616582486963,0.0403125,0,0.108404391501333
85,1,4,9,38.1978125,1.32631293402778,1.1734375,33.795,18.7059127678881,0.191875,0,0.308068252806252
86,1,4,10,39.7025,1.26039682539683,1.19269841269841,37.57,10.5735177410053,0.0540625,0,0.144932896041026
87,1,4,11,121.1884375,4.20793185763889,3.628125,104.49,60.5197449043392,0,0,0
88,1,4,12,8.471875,1.10743464052288,1.10980392156863,8.49,1.93729182024139,0.1103125,0,0.18113413983262
89,1,4,13,28.8778125,1.56434520585049,1.33802816901408,24.7,14.9603731914757,0.0378125,0,0.0956045070809611
90,1,4,14,13.5290625,1.50322916666667,1.19,10.71,8.34409211875626,0.043125,0,0.137850725716788
91,1,4,15,12.4775,0.630176767676768,0.578030303030303,11.445,3.46688388484064,0.7621875,0.88,0.298239288805309
92,1,4,16,8.2459375,0.610810185185185,0.61037037037037,8.24,1.85684411313494,0.7834375,0.81,0.256082262173701
93,1,4,17,7.65,0.85,0.751111111111111,6.76,2.18980334954475,0.4190625,0.515,0.311462309375132
94,1,4,18,12.4425,1.06346153846154,0.905128205128205,10.59,5.11649829851527,0.25625,0.195,0.286668854705328
95,1,4,19,15.1434375,0.673041666666667,0.604,13.59,11.4617837967054,0.75125,0.825,0.305959622046081
96,1,4,20,10.49875,0.686192810457516,0.672875816993464,10.295,2.03651148591361,0.65,0.68,0.272586180512607
97,1,4,21,8.3934375,0.582877604166667,0.549305555555555,7.91,1.58662679184895,0.8540625,0.935,0.214954749551711
98,1,4,22,18.3096875,0.753485082304527,0.618312757201646,15.025,9.09532509638171,0.6228125,0.79,0.409572825262551
99,1,4,23,10.48,0.727777777777778,0.735763888888889,10.595,4.55884818503463,0.5534375,0.55,0.411602763204305
100,1,4,24,5.5403125,1.0259837962963,0.930555555555555,5.025,2.50490806524363,0.35375,0.145,0.40513438630625
101,1,5,0,25.1978125,1.37994592004381,1.20947426067908,22.085,10.5405367233041,0.0453125,0,0.124226234178069
102,1,5,1,23.0015625,2.18646031368821,1.99429657794677,20.98,10.2288476030436,0,0,0
103,1,5,2,6.7159375,2.64406988188976,2.26574803149606,5.755,3.61063917080815,0,0,0
104,1,5,3,29.3590625,1.46064987562189,1.19975124378109,24.115,17.1562527601502,0.25375,0,0.39788756719585
105,1,5,4,20.6665625,2.38643908775982,2.29272517321016,19.855,5.99538349784985,0,0,0
106,1,5,5,43.50875,2.41715277777778,2.14138888888889,38.545,30.6126805636214,0.1596875,0,0.261724853985151
107,1,5,6,43.169375,1.37045634920635,1.00698412698413,31.72,38.8412600653962,0.31625,0,0.415503969159257
108,1,5,7,38.72625,1.22940476190476,1.20031746031746,37.81,9.04338137945058,0.04625,0,0.120154470471113
109,1,5,8,29.4175,1.02144097222222,0.963541666666667,27.75,11.2953019066022,0.1996875,0.08,0.240342287836703
110,1,5,9,34.873125,1.21087239583333,1.07152777777778,30.86,17.2591440817754,0.2353125,0,0.346745089738939
111,1,5,10,34.2746875,1.08808531746032,0.966031746031746,30.43,9.96966398125802,0.1671875,0.075,0.207259139259169
112,1,5,11,89.75125,3.11636284722222,3.01701388888889,86.89,34.1776379211754,0,0,0
113,1,5,12,8.578125,1.12132352941176,1.05816993464052,8.095,2.33060346262508,0.0965625,0,0.185152236838909
114,1,5,13,27.0996875,1.46802207475623,1.23320693391116,22.765,11.3162465236078,0.044375,0,0.11443937682346
115,1,5,14,11.7325,1.30361111111111,1.07222222222222,9.65,10.422841232353,0.0475,0,0.0944252563261444
116,1,5,15,13.0084375,0.656991792929293,0.587626262626263,11.635,4.81076689572463,0.6921875,0.86,0.385735446488159
117,1,5,16,9.630625,0.71337962962963,0.646296296296296,8.725,5.21254376480428,0.701875,0.735,0.260402139379745
118,1,5,17,7.379375,0.819930555555556,0.815,7.335,1.70461600538258,0.40875,0.385,0.330002443783718
119,1,5,18,19.18,1.63931623931624,1.5008547008547,17.56,9.08382788433698,0.079375,0,0.15916997406911
120,1,5,19,14.3296875,0.636875,0.633777777777778,14.26,3.42474909311711,0.7296875,0.765,0.264849127776308
121,1,5,20,9.805,0.640849673202614,0.640849673202614,9.805,2.14254295699775,0.726875,0.745,0.24686992134425
122,1,5,21,7.8740625,0.546809895833333,0.545138888888889,7.85,1.9369894488613,0.889375,0.95,0.217729300708694
123,1,5,22,21.9240625,0.902224794238683,0.788888888888889,19.17,9.24506280073403,0.42375,0.44,0.373006529390227
124,1,5,23,11.893125,0.825911458333333,0.803125,11.565,2.90054993395301,0.4121875,0.41,0.250273841956649
125,1,5,24,4.3084375,0.797858796296296,0.72037037037037,3.89,1.37206721685953,0.5153125,0.58,0.353544123951516
126,2,1,0,15.2378125,0.712047313084112,0.655140186915888,14.02,3.77627802282157,0.6346875,0.745,0.306877976958164
127,2,1,1,26.44375,1.95300960118168,1.5417282127031,20.875,22.4970737523651,0.015625,0,0.0497696305896704
128,2,1,2,5.02625,2.32696759259259,2.27314814814815,4.91,1.09900174645433,0,0,0
129,2,1,3,18.3196875,0.91142723880597,0.876119402985075,17.61,7.14169334052935,0.509375,0.48,0.438280639949837
130,2,1,4,23.4015625,2.36379419191919,2.31666666666667,22.935,4.53057719699193,0,0,0
