numSujet,essai,1,2,3,4,5
,mean,"9,69E-11","8,46E-11","9,96E-11","1,03E-10","9,91E-11"
0,VD,"9,26E-11","7,31E-11","1,04E-10","1,11E-10","1,20E-10"
2,BD,"1,45E-11","1,84E-11","1,64E-11","2,15E-11","1,78E-11"
3,AZ,"1,22E-10","3,06E-10","3,28E-10","1,33E-10","2,56E-10"
5,DN,"6,89E-11","4,43E-11","4,63E-11","5,97E-11","7,03E-11"
6,RK,"5,51E-11","4,17E-11","4,87E-11","5,57E-11","4,90E-11"
7,SM,"5,95E-11","3,54E-11","5,73E-11","5,34E-11","5,59E-11"
8,MP,"1,59E-10","8,11E-11","9,73E-11","3,90E-11","7,41E-11"
9,MB,"2,66E-10","1,79E-10","2,21E-10","2,89E-10","1,53E-10"
10,VC,"7,45E-11","8,59E-11","1,10E-10","1,10E-10","9,18E-11"
11,MG,"1,95E-10","1,72E-10","1,87E-10","2,64E-10","2,20E-10"
12,SY,"3,90E-11","3,61E-11","5,10E-11","3,08E-11","3,00E-11"
13,CC,_,"1,20E-10","6,75E-11","1,59E-10","1,10E-10"
14,AB,"2,40E-10","1,23E-10","6,12E-11","4,56E-11","1,37E-10"
15,VR,"4,12E-11","6,13E-11","5,14E-11","5,22E-11","6,00E-11"
16,QH,"4,81E-11","1,13E-10","1,45E-10","3,07E-10","8,68E-11"
17,YK,"3,75E-11","4,62E-11","3,92E-11","4,65E-11","5,11E-11"
18,AT,"3,28E-11","8,42E-11","7,04E-11","7,55E-11","1,53E-10"
19,VD,"1,09E-10","5,79E-11","9,09E-11","9,38E-11","5,39E-11"
20,JG,"4,72E-11","3,44E-11","4,74E-11","4,39E-11","4,87E-11"
21,NN,_,"5,75E-11","9,68E-11","4,23E-11","7,46E-11"
22,MO,"2,72E-10","9,01E-11","2,19E-10","2,46E-10","2,66E-10"
23,DM,"2,07E-11","6,29E-11","7,64E-11","3,68E-11","7,94E-11"
24,DM,"3,82E-11","2,35E-11","5,83E-11","5,11E-11","2,21E-11"
