numSujet,essai,1,2,3,4,5
,mean,"7,34E-11","8,96E-11","8,50E-11","9,35E-11","1,06E-10"
0,VD,"8,66E-11","9,21E-11","1,39E-10","5,83E-11","6,69E-11"
2,BD,_,"1,64E-11","1,47E-11","1,64E-11","2,24E-11"
3,AZ,"7,83E-11","2,48E-10","1,81E-10","3,86E-10","2,28E-10"
5,DN,"4,82E-11","2,64E-11","3,22E-11","3,38E-11","7,50E-11"
6,RK,"1,47E-10","1,10E-10","1,97E-10","4,31E-11",_
7,SM,"7,85E-11","6,73E-11","6,32E-11","7,75E-11","8,24E-11"
8,MP,"4,12E-11","8,93E-11","4,73E-11","6,74E-11","8,49E-11"
9,MB,_,"1,75E-10","6,69E-11","2,28E-10","3,52E-10"
10,VC,"8,63E-11","8,28E-11","7,78E-11","1,18E-10","1,77E-10"
11,MG,"2,45E-10","2,76E-10","1,71E-10","1,93E-10","1,98E-10"
12,SY,"3,11E-11","2,76E-11","3,32E-11","2,85E-11","3,72E-11"
13,CC,"1,16E-10","1,83E-10","1,77E-10","1,22E-10","1,55E-10"
14,AB,"4,01E-11","1,28E-10","7,48E-11","1,13E-10","1,52E-10"
15,VR,"3,07E-11","5,92E-11","3,94E-11","5,93E-11","1,02E-10"
16,QH,"6,99E-11","9,35E-11","1,78E-10","5,72E-11","6,70E-11"
17,YK,"4,65E-11","2,95E-11","4,57E-11","5,46E-11","3,46E-11"
18,AT,"4,89E-11","8,34E-11","5,15E-11",_,"4,77E-11"
19,VD,"5,46E-11","5,27E-11","5,62E-11","7,61E-11","5,72E-11"
20,JG,"3,43E-11","3,14E-11","3,99E-11","3,68E-11","4,66E-11"
21,NN,"9,16E-72","2,89E-11","6,23E-11","8,07E-11","9,13E-11"
22,MO,"2,12E-10","9,17E-11","1,40E-10","1,62E-10","1,95E-10"
23,DM,"2,30E-11","3,43E-11","4,37E-11","2,25E-11","2,47E-11"
24,DM,"2,36E-11","3,37E-11","2,32E-11","2,44E-11","3,10E-11"
