,condition,sujet,ERD,Baseline
0,1,0,-0.18366575971855087,6.46e-11
1,1,0,-0.1176936189313482,9.5e-11
2,1,0,-0.06547795156650517,1.21e-10
3,1,0,-0.025277454405551403,8.82e-11
4,1,0,-0.018871814947995714,1.22e-10
5,2,0,0.18800781980651363,1.78e-11
6,2,0,0.13672524960193777,1.3e-11
7,2,0,0.2675356696090914,1.96e-11
8,2,0,0.17480636320156137,1.53e-11
9,2,0,0.20142536547436132,1.85e-11
10,3,0,0.356627740972038,1.2e-10
11,3,0,0.37861657470470783,3.65e-10
12,3,0,0.39471103854183887,2.15e-10
13,3,0,0.3329992017390235,3.26e-10
14,3,0,0.361902637582402,3.11e-10
15,1,2,-0.057436701453211794,5.93e-11
16,1,2,-0.04744127077744486,7.69e-11
17,1,2,0.18387158029582829,4.56e-11
18,1,2,0.11102497579437966,5.62e-11
19,1,2,0.48582026937288497,3.34e-11
20,2,2,0.3648635498704521,3.82e-11
21,2,2,0.3980277360699529,3.34e-11
22,2,2,0.4281020553847793,3.34e-11
23,2,2,0.4434605467042001,3.05e-11
24,2,2,0.4021310615288994,2.77e-11
25,3,2,0.349709124504125,4.28e-11
26,3,2,0.24020245078600866,4.75e-11
27,3,2,0.03185711561580425,2.63e-11
28,3,2,0.33983775067473143,3.31e-11
29,3,2,0.006703686294508438,4.77e-11
30,1,4,-0.1155732880282703,6.19e-11
31,1,4,-0.21376703083085083,6.45e-11
32,1,4,-0.22288401704796124,1.09e-10
33,1,4,-0.2658226874366144,7.43e-11
34,1,4,-0.24642909923707285,4.61e-11
35,2,4,-0.266331526958096,1.92e-10
36,2,4,-0.2996534668351775,9.43e-11
37,2,4,-0.28412924512577975,
38,2,4,-0.29121501337038197,1.35e-10
39,2,4,-0.2188717655025802,
40,3,4,-0.11382273170283895,8.62e-11
41,3,4,-0.10069638818542019,9.25e-11
42,3,4,-0.005997694145953549,1.09e-10
43,3,4,0.0037536489671206115,1.05e-10
44,3,4,0.010797418526321108,9.75e-11
45,1,5,0.013948476426705023,3.13e-10
46,1,5,-0.10298416072024953,1.61e-10
47,1,5,-0.04726808158591366,2.47e-10
48,1,5,-0.0049287550080927755,1.34e-10
49,1,5,0.3466178067999929,
50,2,5,-0.012305367427358332,3.91e-11
51,2,5,0.008937960129185749,3.31e-11
52,2,5,0.08619028373451056,4.34e-11
53,2,5,0.08675518298416528,2.7e-11
54,2,5,0.04314387495798665,4.45e-11
55,3,5,0.49888463778846714,1.45e-10
56,3,5,0.4609395837803588,2.3e-10
57,3,5,0.2579034619797088,1.83e-10
58,3,5,0.41818040691737696,1.48e-10
59,3,5,0.2830183928212617,1.6e-10
60,1,6,0.11350643629221756,5.29e-11
61,1,6,0.1350390635126254,1.12e-10
62,1,6,0.1430760590851294,7.37e-11
63,1,6,0.10378136978218513,6.17e-11
64,1,6,0.10578838251307342,8.61e-11
65,2,6,0.11071006045686564,5.82e-11
66,2,6,0.14874165128092406,1e-10
67,2,6,0.2532681561696446,7.01e-11
68,2,6,0.19361294569831494,3.43e-11
69,2,6,0.18922227208873416,9.31e-11
70,3,6,0.08038594718599429,6.97e-11
71,3,6,0.09922009548613155,7.36e-11
72,3,6,0.09127605344516825,1.09e-10
73,3,6,0.1294392378349757,8.73e-11
74,3,6,0.11800738817418918,1.3e-10
75,1,7,0.32691716127938264,3.81e-11
76,1,7,0.328870182477282,7.63e-11
