,0,1,2,3,4,5,6,7,8,9
0,7.054166251148329e-11,8.202898436026339e-11,1.0148082378433196e-10,1.0493063397822933e-10,1.3757444861045072e-10,1.1008274098726639e-10,1.3438293705318398e-10,1.2481844902373061e-10,1.0033835013138982e-10,1.0580058273956344e-10
1,1.6213055811640575e-11,1.0351925122390726e-11,1.1130528189883994e-11,1.483367418022186e-11,1.835591501227623e-11,2.377961677940293e-11,2.0632547183017036e-11,2.299461157949213e-11,1.488013060326363e-11,3.4392131808202245e-11
2,2.44753867883628e-10,3.1444966402843464e-10,2.2515289896641013e-10,4.2102770428836386e-10,2.473393730842139e-10,1.3803887520775802e-10,3.6827216939138357e-10,2.475179720678546e-10,2.3329928064784135e-10,5.464577531632682e-10
3,6.490918801536354e-11,5.281330473635744e-11,4.0234698125315585e-11,3.33643657989311e-11,-1.0,5.5177433122876673e-11,9.338868581788042e-11,8.183496414110645e-11,6.637072830101007e-11,3.5392941947695327e-11
4,-1.0,3.2323800085433586e-11,2.3486855215404825e-11,2.2390311204225234e-11,4.642558816855835e-11,4.6605243854097866e-11,-1.0,3.1247339236873157e-11,4.5104164501115874e-11,-1.0
5,3.880698051886284e-11,2.097091358620384e-11,2.6365962828632964e-11,3.911659038431405e-11,3.477973926067097e-11,3.349053274685605e-11,7.237470860056742e-11,3.761486790513147e-11,3.2416938235773325e-11,3.444012575679816e-11
6,3.768446948591062e-11,4.240800177709963e-11,5.4385365518801204e-11,6.668937840124453e-11,5.54567536759456e-11,9.184518263875086e-11,1.0178399951921859e-10,1.8240721860525323e-10,4.302821401248444e-11,9.04705076045371e-11
7,1.7444269153308296e-10,5.13733163648293e-11,-1.0,1.2507819840613834e-10,-1.0,1.8997521214520747e-10,9.494753039880535e-11,-1.0,1.0657152358750836e-10,-1.0
8,1.1059817181848183e-10,6.554072378408141e-11,1.835869036604544e-10,6.610231508274936e-11,1.1044291045259404e-10,9.158292209069597e-11,8.081760024193354e-11,9.852993033933574e-11,1.6372008796005258e-10,1.094400746109184e-10
9,5.439114989075923e-10,1.3384758715020327e-10,2.357887118512396e-10,1.891689797404162e-10,-1.0,1.6892755864014205e-10,1.641890113066719e-10,6.91325768031844e-10,1.1038396485945183e-10,-1.0
10,4.44718481757408e-11,2.991930393495206e-11,4.350787211354081e-11,4.1134890110432996e-11,4.379333075174897e-11,3.3709321315580475e-11,3.258881946925206e-11,4.9778750915534834e-11,3.891291135453683e-11,3.001747024983269e-11
11,1.170277206021885e-10,1.3165285399483675e-10,2.46612308713624e-10,2.1110451095211524e-10,-1.0,-1.0,3.237342821551259e-10,1.7800746572189796e-10,1.8415912466699365e-10,2.6457467108502136e-10
12,7.142397222129621e-11,1.0526277335813688e-10,4.05255770582048e-11,-1.0,3.897078696872465e-11,4.13491303397963e-11,9.013127682961739e-11,8.866036343288235e-11,6.25628066666911e-11,1.465813583925907e-10
13,6.693075418693853e-11,1.7983614572456887e-10,1.100470794133423e-10,4.344596897262784e-11,1.6773061132267966e-10,-1.0,5.5389126668751235e-11,3.2909109788405115e-11,-1.0,7.787548425330055e-11
14,4.6499216963745515e-11,9.126595886600731e-11,1.3301186278279027e-10,6.870825367402261e-11,9.75630220914161e-11,6.435347683706827e-11,7.096594168940751e-11,1.0220942041293287e-10,5.844227449072076e-11,1.0906944948529927e-10
15,4.7068639413423534e-11,6.868512824203461e-11,2.633352518031549e-11,2.924667904388465e-11,4.9583486773182244e-11,3.833396479622278e-11,4.423007491428375e-11,2.3647164567614152e-11,-1.0,3.1505286935422975e-11
16,3.29700750418085e-11,6.5404930338833e-11,-1.0,1.184120819037457e-10,1.1069191610389533e-10,4.049575948642753e-11,6.875507324968043e-11,-1.0,-1.0,9.788913794221393e-11
17,6.457338158654612e-11,9.315184709038448e-11,4.77320017222004e-11,5.381106684424663e-11,6.299890005400078e-11,5.440718128976008e-11,1.0695673088442099e-10,4.783936043513636e-11,6.656991411417052e-11,4.575923975699204e-11
18,6.346539653856813e-11,2.0178245492049244e-11,4.994250165890045e-11,3.1009601190068553e-11,4.123817236267869e-11,4.3391927351161014e-11,2.9828541184964816e-11,3.799367144755318e-11,4.954269596216052e-11,2.8266235075056583e-11
19,-1.0,5.448032837356198e-11,8.150859965608922e-11,8.189322640450357e-11,7.861277228378412e-11,-1.0,1.3036523247836713e-10,8.016239551800191e-11,1.5941973531628656e-10,7.868031032865215e-11
20,1.0753669122749609e-10,3.1236249215822467e-10,1.837758627654963e-10,2.2823161518599224e-10,3.547000441082853e-10,-1.0,2.591827971237194e-10,3.089604520343431e-11,2.309227863562735e-10,9.455129896023657e-11
21,7.093784905943489e-11,7.338961600065328e-11,-1.0,6.837821801723686e-11,5.262705367911995e-11,1.5949642794255445e-11,8.080554505902449e-11,2.8797420396495017e-11,-1.0,3.1301584575430456e-11
22,2.501262100575414e-11,2.240506996153997e-11,2.4613427812248623e-11,2.0758113842558628e-11,2.6359690484735408e-11,-1.0,4.241908416345082e-11,-1.0,2.8661536925468358e-11,3.1267031775304443e-11
