"","num_sujet","FB_int","essai_tot","meanMvt","mvtMedian","stdDev_Mvt","LogmedianERD"
"1",0,"1",1,0.2225,0.215,0.233823295104088,-0.120964467001156
"2",0,"1",2,0.09875,0.01,0.164959591011455,0.00399446749482384
"3",0,"1",3,0.039375,0,0.0890294894964584,0.209207603170513
"4",0,"1",4,0.031875,0,0.0886354895061792,0.125617990360705
"5",0,"1",5,0.02375,0,0.095,0.228089324188858
"6",0,"1",6,0.391875,0.295,0.259080907568788,-0.169696436389439
"7",0,"1",7,0.16625,0,0.21972331085557,0.0606738988774922
"8",0,"1",8,0.108125,0,0.146525026303814,0.0320328715328334
"9",0,"1",9,0.05875,0,0.150593271208688,0.128312282739695
"10",0,"1",10,0.066875,0,0.147906220288398,0.118562643943129
"11",0,"2",1,0.835625,0.865,0.189735561593849,-0.51044000373538
"12",0,"2",2,0.58125,0.65,0.308131465449408,-0.355420949584111
"13",0,"2",3,0.256875,0.22,0.283236503061782,-0.11084230433228
"14",0,"2",4,0.2125,0.1,0.253390344462189,-0.0475879269750189
"15",0,"2",5,0.205625,0.115,0.241660057380886,-0.0548983672597055
"16",0,"2",6,0.43375,0.495,0.269242765300512,-0.260445037950297
"17",0,"2",7,0.3225,0.245,0.348836160205141,-0.121008521153347
"18",0,"2",8,0.256875,0.305,0.266776279555236,-0.150799589917672
"19",0,"2",9,0.241875,0.15,0.260005608913859,-0.072471740171131
"20",0,"2",10,0.253125,0.08,0.32499679485599,-0.037637481137256
"21",0,"4",1,0.9225,1.04,0.200980927785035,-0.468595745235563
"22",0,"4",2,0.833125,0.965,0.301722140387476,-0.384495388532731
"23",0,"4",3,0.665,0.665,0.366715148309966,-0.248253487374135
"24",0,"4",4,0.68375,0.705,0.301858134449502,-0.264236823732363
"25",0,"4",5,0.72625,0.885,0.400314459727183,-0.34721322483477
"26",0,"4",6,0.85,0.935,0.27863955210989,-0.370763637267265
"27",0,"4",7,0.491875,0.52,0.363615524971088,-0.187210817410311
"28",0,"4",8,0.38125,0.31,0.321161952914725,-0.109122958383345
"29",0,"4",9,0.318125,0.24,0.314498940114801,-0.0821685651599177
"30",0,"4",10,0.41875,0.46,0.358196873241518,-0.164946956404808
"31",1,"1",1,0,0,0,0.573086612516367
"32",1,"1",2,0,0,0,0.760937450689469
"33",1,"1",3,0,0,0,0.841758226566903
"34",1,"1",4,0,0,0,0.724231937155462
"35",1,"1",5,0,0,0,0.745700920626897
"36",1,"1",6,0,0,0,0.677271199119261
"37",1,"1",7,0,0,0,0.908405873200282
"38",1,"1",8,0,0,0,0.667634245913902
"39",1,"1",9,0,0,0,0.579754647547215
"40",1,"1",10,0,0,0,0.645305420546253
"41",1,"2",1,0.03125,0,0.067811011888434,0.285278891703736
"42",1,"2",2,0.039375,0,0.0804544384522486,0.323224443804478
"43",1,"2",3,0,0,0,0.723994012848613
"44",1,"2",4,0,0,0,0.678099170671621
"45",1,"2",5,0.01,0,0.04,0.435445776507688
"46",1,"2",6,0,0,0,0.646503977900265
"47",1,"2",7,0.01,0,0.0233809038890002,0.284657591007767
"48",1,"2",8,0.0175,0,0.0380350715349224,0.348940456351106
"49",1,"2",9,0.02375,0,0.0702258262085016,0.238091550490443
"50",1,"2",10,0.000625,0,0.0025,0.513370078998894
"51",1,"4",1,0.194375,0.095,0.252163141636521,-0.0589264205721181
"52",1,"4",2,0.266875,0.275,0.264668818211238,-0.173538154522594
"53",1,"4",3,0.348125,0.39,0.308549698860113,-0.259070892651052
"54",1,"4",4,0.43625,0.505,0.34095698653447,-0.34480330493642
"55",1,"4",5,0.476875,0.54,0.345653366828677,-0.37933531941451
"56",1,"4",6,0.625,0.685,0.230622346416532,-0.508834125993811
"57",1,"4",7,0.531875,0.59,0.306968375135507,-0.418829290636952
"58",1,"4",8,0.41875,0.46,0.306656702736681,-0.312868677486435
"59",1,"4",9,0.45625,0.6,0.388087189516308,-0.429591290726063
"60",1,"4",10,0.43,0.44,0.35821781083581,-0.29815367612636
"61",2,"1",1,0,0,0,0.603580361946173
"62",2,"1",2,0,0,0,0.638833309235676
"63",2,"1",3,0,0,0,0.633321397932649
"64",2,"1",4,0,0,0,0.729751048012411
"65",2,"1",5,0,0,0,0.831692194665744
"66",2,"1",6,0,0,0,0.617523826997881
"67",2,"1",7,0,0,0,0.50996804703474
"68",2,"1",8,0,0,0,0.580644051786572
"69",2,"1",9,0,0,0,0.727011849412666
"70",2,"1",10,0,0,0,0.802111262756314
"71",2,"2",1,0,0,0,0.782754300171582
"72",2,"2",2,0,0,0,0.823893858904483
"73",2,"2",3,0,0,0,0.86675556851204
"74",2,"2",4,0,0,0,0.73945990397043
"75",2,"2",5,0,0,0,0.843313775562615
"76",2,"2",6,0,0,0,0.837309615524163
"77",2,"2",7,0,0,0,1.03321645622641
"78",2,"2",8,0,0,0,0.935429329613208
"79",2,"2",9,0,0,0,1.01515084144336
"80",2,"2",10,0,0,0,0.793699495098504
"81",2,"4",1,0,0,0,0.475599793290685
"82",2,"4",2,0,0,0,0.731973360363761
"83",2,"4",3,0,0,0,0.717645732483573
"84",2,"4",4,0,0,0,0.692012106292676
"85",2,"4",5,0,0,0,0.780487537819799
"86",2,"4",6,0,0,0,0.837979297387831
"87",2,"4",7,0,0,0,0.721655520780063
"88",2,"4",8,0,0,0,0.699935110517715
"89",2,"4",9,0,0,0,1.0144734416786
"90",2,"4",10,0,0,0,0.59867091773162
"91",3,"1",1,0.69125,0.87,0.400164549487666,-0.243588680237289
"92",3,"1",2,0.179375,0,0.282594379514762,0.247349026473181
"93",3,"1",3,0.480625,0.46,0.436416754184957,-0.121428259503872
"94",3,"1",4,0.296875,0,0.41802262697929,0.0320673374221675
"95",3,"1",5,0.14875,0,0.310867066980942,0.41411986123114
"96",3,"1",6,0.399375,0.1,0.466282728967451,-0.00406751348202508
"97",3,"1",7,0.39125,0.145,0.456229109110762,0.00330936252264457
"98",3,"1",8,0.11375,0,0.295970156153173,0.257168913505477
"99",3,"1",9,0.308125,0,0.437282803229215,0.264007851908277
"100",3,"1",10,0.35875,0.045,0.455,-0.00983092430581114
"101",3,"2",1,0.558125,0.655,0.457445351927419,-0.18716471915234
"102",3,"2",2,0.586875,0.805,0.457379765621524,-0.23318092202936
"103",3,"2",3,0.22125,0,0.398361226359527,0.312407217737688
"104",3,"2",4,0.211875,0,0.381806560970343,0.464383656684245
"105",3,"2",5,0.081875,0,0.25675458450954,0.959825600313339
"106",3,"2",6,0.460625,0.455,0.427386924616715,-0.124783777050783
"107",3,"2",7,0.333125,0,0.421722163673352,0.300933296435862
"108",3,"2",8,0.035,0,0.129717642079505,0.572238926732724
"109",3,"2",9,0.155625,0,0.324858302443799,0.228689864350965
"110",3,"2",10,0,0,0,1.1362485472707
"111",3,"4",1,0.651875,1.04,0.488797418842067,-0.36393447631725
"112",3,"4",2,0.805625,1.04,0.379560601221992,-0.346774120573875
"113",3,"4",3,0.655625,0.85,0.432388232186461,-0.235703973219206
"114",3,"4",4,0.558125,0.7,0.472697489592093,-0.190932596383646
"115",3,"4",5,0.28125,0,0.453150085512515,0.0461072803653852
"116",3,"4",6,0.499375,0.405,0.461265921134436,-0.105967610284291
"117",3,"4",7,0.5375,0.515,0.441927595879687,-0.136829546485328
"118",3,"4",8,0.2675,0,0.395685059948776,0.068359216285247
"119",3,"4",9,0.578125,0.71,0.48184670798917,-0.194190434606012
"120",3,"4",10,0.60375,1.04,0.513184502234171,-0.325201343409465
"121",4,"1",1,0,0,0,0.544261149935265
"122",4,"1",2,0,0,0,0.659689773127196
"123",4,"1",3,0,0,0,0.638512883908142
"124",4,"1",4,0,0,0,0.771870232691821
"125",4,"1",5,0,0,0,0.765503666285855
"126",4,"1",6,0,0,0,0.528109001807559
"127",4,"1",7,0,0,0,0.540190126447099
"128",4,"1",8,0,0,0,0.644944925961654
"129",4,"1",9,0,0,0,0.675964636270431
"130",4,"1",10,0,0,0,0.848068644561101
"131",4,"2",1,0,0,0,0.830464359089598
"132",4,"2",2,0,0,0,0.916458441730334
"133",4,"2",3,0,0,0,0.835096442300748
"134",4,"2",4,0,0,0,0.95841178888376
"135",4,"2",5,0,0,0,0.831479716815666
"136",4,"2",6,0,0,0,0.908846713761061
"137",4,"2",7,0,0,0,0.945319640706463
"138",4,"2",8,0,0,0,1.02794169317975
"139",4,"2",9,0,0,0,1.14345343285212
"140",4,"2",10,0,0,0,1.00972528350791
"141",4,"4",1,0.651875,1.04,0.488797418842067,-0.36393447631725
"142",4,"4",2,0.805625,1.04,0.379560601221992,-0.346774120573875
"143",4,"4",3,0.655625,0.85,0.432388232186461,-0.235703973219206
"144",4,"4",4,0.558125,0.7,0.472697489592093,-0.190932596383646
"145",4,"4",5,0.28125,0,0.453150085512515,0.0461072803653852
"146",4,"4",6,0.499375,0.405,0.461265921134436,-0.105967610284291
"147",4,"4",7,0.5375,0.515,0.441927595879687,-0.136829546485328
"148",4,"4",8,0.2675,0,0.395685059948776,0.068359216285247
"149",4,"4",9,0.578125,0.71,0.48184670798917,-0.194190434606012
"150",4,"4",10,0.60375,1.04,0.513184502234171,-0.325201343409465
"151",5,"1",1,0.96625,1.04,0.150858653491715,-0.792685906718337
"152",5,"1",2,1.038125,1.04,0.00750000000000001,-1.02706742243419
"153",5,"1",3,0.76125,1.04,0.45994021350606,-0.957402120116586
"154",5,"1",4,0,0,0,1.03201752139563
"155",5,"1",5,0,0,0,1.31734831150875
"156",5,"1",6,0.125625,0,0.246115657093706,0.479061411740972
"157",5,"1",7,0.49125,0.48,0.300685328319602,-0.263269484631322
"158",5,"1",8,0.525,0.5,0.317909840468436,-0.273551406628242
"159",5,"1",9,0.68875,0.655,0.23246146634084,-0.379424917914457
"160",5,"1",10,0.319375,0.375,0.295239309713324,-0.197784892134202
"161",5,"2",1,0.01625,0,0.065,0.233294911361136
"162",5,"2",2,0.700625,0.69,0.168264424839794,-0.42312903596826
