num_sujet\essai,1,2,3,4,5,6,7,8,9,10
0,8.041819372434435e-11,1.3770620128403336e-10,1.343552332477199e-10,9.592246850711243e-11,6.511926740611645e-11,_,8.67826506393986e-11,1.354687409289253e-10,1.47140829892097e-10,6.73859346814987e-11
2,_,1.2961716009173136e-11,_,1.464650797712681e-11,1.3559269667167794e-11,_,1.2757717590377077e-11,1.5741534299517517e-11,1.3457350930078281e-11,3.624570030692868e-11
3,_,_,1.2208248234383655e-10,1.1185113278261628e-10,4.623242916120026e-10,7.47772805215939e-11,2.6283718543195683e-10,4.3650182825464924e-10,3.494577912230659e-10,1.53622785203848e-10
5,3.317640545554961e-11,3.086081436740938e-11,3.2712877475944915e-11,3.593511818545597e-11,5.453575251589905e-11,5.782583077005215e-11,2.5651350373861297e-11,3.495789443185608e-11,2.369212494600959e-11,8.332888653092996e-11
6,1.5575238226323622e-10,1.343395158971222e-10,1.074769203200067e-10,4.671557354591129e-11,_,_,8.107169137208117e-11,_,_,_
7,8.008706220497426e-11,5.191354473398557e-11,6.726009966504917e-11,7.851645450692745e-11,5.633779750944738e-11,7.2084035989769e-11,8.056473347918567e-11,7.683238309367152e-11,7.239182706684064e-11,7.727897008613937e-11
8,3.2357027431751394e-11,4.1794765265172374e-11,3.901651647926167e-11,4.63875098220317e-11,1.3318174848240238e-10,4.5961396280120824e-11,1.4641325856779522e-10,4.3505881974613104e-11,7.464371941624307e-11,7.099619962269564e-11
9,_,3.0353279904769813e-10,1.3268725575839753e-10,1.0842962922901244e-10,2.9584583713086815e-10,_,_,_,2.1883937404387943e-10,3.311690671552124e-10
10,1.0831058252364027e-10,9.647398899077378e-11,1.3500392769919263e-10,8.700445765388638e-11,2.789797205253798e-10,_,_,_,_,_
11,4.347827929847412e-10,3.35043501810777e-10,2.4337712944165756e-10,_,2.5304174475158526e-10,1.0270222912205206e-10,1.214222740808274e-10,2.061448477154048e-10,2.0332385206584645e-10,_
12,_,2.6173196264334892e-11,3.3839902022100196e-11,2.794876224333152e-11,4.1274696664571774e-11,3.2854061373693136e-11,3.022535415280291e-11,3.617552681637116e-11,3.313883279849796e-11,2.874832831507959e-11
13,2.3197880400465645e-10,1.8954549133230722e-10,1.4911589256648715e-10,1.739688819895385e-10,8.042104813601031e-11,1.0175033184077127e-10,1.8461330936427965e-10,2.1346716598301e-10,1.4259112248235992e-10,1.4119215971808101e-10
14,_,9.280237520134127e-11,8.050982824826512e-11,1.3205683026910008e-10,1.201014854873001e-10,6.398955814274204e-11,1.3317225245030404e-10,_,1.1461120916367972e-10,_
15,2.2423747842070158e-11,6.784821171894617e-11,4.700639949509192e-11,5.077336668738931e-11,1.0341656054113355e-10,5.4461304881302266e-11,4.074094329965602e-11,2.7605089662988535e-11,1.0970548255713963e-10,_
16,1.403129735268617e-10,4.3839238973116166e-11,1.1576678371864108e-10,7.944899709981582e-11,9.466820270621188e-11,_,1.209849549925318e-10,6.313059385015977e-11,_,2.9498273704941403e-10
17,2.478403558272254e-11,2.552572714187763e-11,4.660866045113336e-11,8.165776055021943e-11,2.7295564702842487e-11,5.7408863873135066e-11,2.512675069809995e-11,3.564492610450406e-11,_,4.149821647216663e-11
18,5.879481000413334e-11,3.976669259787658e-11,7.263563573098822e-11,_,7.659177275098486e-11,1.9866789411952805e-10,9.369630752659686e-11,_,_,3.892894336516562e-11
19,5.352335478366279e-11,5.189002286767323e-11,5.392610653597513e-11,_,5.017602512231062e-11,6.323780552615143e-11,5.995606191345567e-11,_,7.761006174146275e-11,7.107700170873637e-11
20,2.657790952177697e-11,2.4393478437724138e-11,2.8475062144614756e-11,3.334795299692209e-11,2.818600210038611e-11,2.3554236285088155e-11,3.577721109440426e-11,4.441000431887706e-11,3.7739993453732386e-11,5.062470514109339e-11
21,_,3.5779327090976623e-11,3.08396611960923e-11,7.195081105073296e-11,4.375926215740351e-11,_,5.096879315986694e-11,8.307864482788032e-11,5.4028370848121745e-11,8.997424080511357e-11
22,7.215282281816795e-11,1.2200528039973774e-10,1.6623826803308086e-10,1.999954119715665e-10,1.049713786626117e-10,3.57329249054997e-10,1.3447304003950224e-10,3.1235896781661516e-10,2.5862971061155646e-10,2.3820504569802634e-10
23,_,3.011922195039618e-11,2.6365535050425608e-11,2.5704187895908483e-11,3.1477045837632684e-11,2.1232904130484326e-11,2.0334876998433314e-11,1.2601658972024543e-10,4.612814941563593e-11,3.616407765851702e-11
24,2.3692309746275185e-11,1.5317623547745085e-11,1.983592371105095e-11,2.0690986649385092e-11,4.003435587646497e-11,1.9191026882139088e-11,4.764481605851219e-11,3.732431413220869e-11,3.159354394287522e-11,3.869010702791958e-11
