num_sujet\essai,1,2,3,4,5,6,7,8,9,10
0,1.487528104112774e-10,5.760313845781683e-11,5.619382748112467e-11,1.3456028137958664e-10,1.0000006121683793e-10,5.6648209648028155e-11,1.350422812626213e-10,1.0839049882343464e-10,1.2999126520434826e-10,1.9281362969223685e-10
2,1.430960642969314e-11,1.7180411771262603e-11,1.9856112328082715e-11,2.0651270153477415e-11,1.451152820266986e-11,1.4253100303453775e-11,1.2953419329984311e-11,1.417666340192071e-11,1.5997555221480252e-11,1.8098664978612136e-11
3,2.3047381903997544e-10,1.5437563581538086e-10,3.8160848810385614e-10,1.0506549974028131e-10,1.4475593834598912e-10,8.023933880152291e-11,4.824713327568249e-10,2.908151350042347e-10,2.1927178115197089e-10,2.3213171418792688e-10
5,5.4851752450607123e-11,2.8147489870976232e-11,_,8.476199440451213e-11,8.729746110301933e-11,8.225759751467415e-11,5.1700564882509854e-11,4.497406786023709e-11,5.285110512614967e-11,4.3615307190635164e-11
6,4.5428968034239614e-11,_,4.2820643989436494e-11,_,_,_,_,4.9460045529014885e-11,3.366330088850634e-11,1.5483146041296476e-10
7,5.940591371965895e-11,4.4185756029035045e-11,5.8119614380687426e-11,3.861278713974303e-11,4.391059433825261e-11,6.473692158660775e-11,_,6.431498720338395e-11,7.551316495013915e-11,8.596582073447973e-11
8,1.8745846326627263e-10,4.7312381619214515e-11,1.0840007213691283e-10,3.8994887677364164e-11,5.2319553721233866e-11,3.5349414699800786e-11,1.292671077283576e-10,1.251403496894654e-10,5.285065606373702e-11,8.727919573792796e-11
9,2.0928059887418574e-10,1.910317840873242e-10,2.8382772280266966e-10,2.78702322756668e-10,1.3595299851938316e-10,_,1.6224348986615712e-10,9.269557022987365e-11,3.2866410271208927e-10,1.3544686934872627e-10
10,7.261801120467703e-11,9.944571189855787e-11,1.0308101065626239e-10,6.425007889725972e-11,1.1639673756581986e-10,9.94588411031404e-11,7.290711571549872e-11,1.1693139991945906e-10,_,_
11,2.857205740672977e-10,2.3093599557347858e-10,2.2805320136506408e-10,1.1696800678685577e-10,2.624354296156972e-10,1.190388415435278e-10,2.8145969345124556e-10,_,4.1349994809169454e-10,2.2212740909544838e-10
12,2.5403687182042678e-11,3.292360210029274e-11,3.926636828654206e-11,2.4508515339002898e-11,2.8557861264516982e-11,_,3.874384995169138e-11,6.608468024594607e-11,2.9616789438570745e-11,3.021654040333811e-11
13,_,8.730636135393235e-11,6.228109236279295e-11,1.1466133964693818e-10,9.48722422691082e-11,_,1.3106477441115515e-10,_,2.1194204508892895e-10,2.301515633236812e-10
14,_,1.500025836996435e-10,6.336487572553292e-11,3.638750929597638e-11,1.0467480995537832e-10,1.8605914948496805e-10,8.1559455723391e-11,5.835057940890919e-11,5.00662734396293e-11,_
15,1.6989294369891337e-11,6.37516055126119e-11,6.959796869690481e-11,7.935314082502645e-11,7.149919736812865e-11,4.373771110112557e-11,1.251596370458121e-10,4.096037739561281e-11,_,_
16,3.318387174733027e-11,8.056315916539748e-11,4.106374803326399e-11,1.6083719262903786e-10,1.0575555976173768e-10,_,_,_,_,_
17,4.0738465256120365e-11,4.794107092062156e-11,_,5.871126463323967e-11,2.8040467252404566e-11,_,3.7806065339302075e-11,6.198584834279559e-11,3.377482820671198e-11,9.587772924958772e-11
18,4.259594199172441e-11,6.413315421732088e-11,_,7.235964439939815e-11,1.3611512771795178e-10,_,_,1.1059599908733427e-10,9.14899044332745e-11,8.956182727542904e-11
19,1.29701052808647e-10,6.69200384380821e-11,7.949324896920714e-11,_,8.713568830422414e-11,4.9201040866588726e-11,6.070343637864547e-11,7.194152003785439e-11,9.719490154694729e-11,_
20,2.8362613649836336e-11,3.700433821309681e-11,4.918730206776253e-11,5.028899261871391e-11,4.804514532286825e-11,3.688192083523637e-11,3.6578021657900646e-11,5.078148996402283e-11,4.980299502949431e-11,6.368773517116376e-11
21,_,6.416956291478309e-11,4.8002335180314355e-11,5.201038079803225e-11,7.985337993702264e-11,_,5.977363793292736e-11,1.2462731777679653e-10,6.77803448385687e-11,1.008650724570233e-10
22,3.8665201725911316e-11,1.4451236105184643e-10,3.3912487519900447e-10,2.5988697733769775e-10,1.864098326197405e-10,3.165884204000726e-10,1.1345011346399895e-10,1.2602631862743731e-10,1.396500751235484e-10,2.8302775933845026e-10
23,4.27663424510838e-11,3.640010084856236e-11,9.131687743622645e-11,2.9010798721208902e-11,6.618295162318708e-11,1.8904900155134647e-11,8.75133441698248e-11,6.588834616211055e-11,_,5.2617101321624426e-11
24,1.472705434131882e-11,2.5035919917827922e-11,8.691581734771001e-11,4.464695071465274e-11,2.7757690937346734e-11,1.468544372050573e-11,2.3307718147834213e-11,2.5392931567796064e-11,4.4141076280638435e-11,1.587229177394456e-11
