num_sujet,seuil_min_mvt,seuil_max_mvt,Stdev,valMediane
0,"18,26","8,18","11,2","20,5"
2,"2,86","1,48","1,5","3,2"
3,17,"12,5","5,0",18
5,18,9,10,20
6,"31,5","15,75","17,5",35
7,"31,5","15,75","17,5",35
8,"28,8","14,4",16,32
9,27,"13,5",15,30
10,"31,5","15,75","17,5",35
11,"28,8","14,4",16,32
12,"7,65","3,83","4,24","8,5"
13,"18,46","9,28","10,2","20,5"
14,9,"4,5",5,10
15,"18,2","9,1","10,1","20,2"
16,"13,5","6,75","7,5",15
17,9,"4,5",5,10
18,"11,7","5,85","6,5",13
19,"11,7","5,85","6,5",13
20,"15,3","7,65","8,5",17
21,"14,4","7,2",8,16
22,"24,75","12,375","13,8","27,5"
23,"14,4","7,2",8,16
24,"5,4","2,7",3,6
